"Date","Match","Result","Score","Competition"
"11 Oct 2003","France v Israel","L","3-0","UEFA European Championship"
"04 Sep 2004","France v Israel","D","0-0","FIFA World Cup"
"30 Mar 2005","Israel v France","D","1-1","FIFA World Cup"
"02 Sep 1969","West Germany v Israel","D","1-1","International Friendly"
"25 Mar 1987","Israel v West Germany","L","0-2","International Friendly"
"26 Feb 1997","Israel v Germany","L","0-1","International Friendly"
"13 Feb 2002","Germany v Israel","L","7-1","International Friendly"
"31 May 2012","Germany v Israel","L","2-0","International Friendly"
"01 Nov 1953","Greece v Israel","L","1-0","FIFA World Cup"
"08 Mar 1954","Israel v Greece","L","0-2","FIFA World Cup"
"12 Mar 1969","Israel v Greece","D","3-3","International Friendly"
"28 May 1969","Greece v Israel","W","1-3","B v A"
"22 Sep 1976","Greece v Israel","W","0-1","International Friendly"
"26 Jan 1977","Israel v Greece","D","1-1","International Friendly"
"14 Feb 1979","Israel v Greece","W","4-1","International Friendly"
"09 Oct 1984","Greece v Israel","D","2-2","International Friendly"
"09 Jan 1985","Israel v Greece","L","0-2","International Friendly"
"28 Mar 1990","Greece v Israel","L","2-1","International Friendly"
"24 Jan 1996","Greece v Israel","L","2-1","International Friendly"
"22 Jan 1997","Israel v Greece","D","1-1","International Friendly"
"28 Mar 2009","Israel v Greece","D","1-1","FIFA World Cup"
"01 Apr 2009","Greece v Israel","L","2-1","FIFA World Cup"
"12 Oct 2010","Greece v Israel","L","2-1","UEFA European Championship"
"02 Sep 2011","Israel v Greece","L","0-1","UEFA European Championship"
"02 Jun 2013","Honduras v Israel","W","0-2","International Friendly"
"01 Jun 2014","Honduras v Israel","W","2-4","International Friendly"
"01 Sep 1956","Hong Kong v Israel","W","2-3","AFC Asian Cup"
"02 Jan 1964","Hong Kong v Israel","W","0-3","International Friendly"
"26 May 1964","Israel v Hong Kong","W","1-0","AFC Asian Cup"
"12 May 1968","Israel v Hong Kong","W","6-1","AFC Asian Cup"
"23 Sep 1992","Hungary v Israel","D","0-0","International Friendly"
"16 Aug 1995","Hungary v Israel","W","0-2","International Friendly"
"03 Jun 2000","Hungary v Israel","L","2-1","International Friendly"
"11 Feb 2009","Israel v Hungary","W","1-0","International Friendly"
"15 Aug 2012","Hungary v Israel","D","1-1","International Friendly"
"08 Apr 1992","Israel v Iceland","D","2-2","International Friendly"
"09 Aug 1992","Iceland v Israel","W","0-2","International Friendly"
"17 Nov 2010","Israel v Iceland","W","3-2","International Friendly"
"26 May 1958","Israel v Iran","W","4-0","Asian Games"
"05 Dec 1959","Iran v Israel","L","3-0","AFC Asian Cup"
"12 Dec 1959","Israel v Iran","D","1-1","AFC Asian Cup"
"19 May 1968","Iran v Israel","L","2-1","AFC Asian Cup"
"15 Sep 1974","Iran v Israel","L","1-0","Asian Games"
"15 Oct 1961","Israel v Italy","L","2-4","FIFA World Cup"
"04 Nov 1961","Italy v Israel","L","6-0","FIFA World Cup"
"11 Jun 1970","Italy v Israel","D","0-0","FIFA World Cup"
"20 Feb 1971","Italy v Israel","L","2-0","Under-23 v A"
"01 Mar 1972","Israel v Italy","L","0-1","A v Under-23"
"05 Sep 2016","Israel v Italy","L","1-3","FIFA World Cup"
"19 Nov 2008","Israel v Ivory Coast","D","2-2","International Friendly"
"10 Aug 2011","Ivory Coast v Israel","L","4-3","International Friendly"
"16 May 1973","Israel v Japan","W","2-1","FIFA World Cup"
"26 May 1973","Japan v Israel","W","0-1","FIFA World Cup"
"07 Sep 1974","Israel v Japan","W","3-0","Asian Games"
"06 Mar 1977","Israel v Japan","W","2-0","FIFA World Cup"
"10 Mar 1977","Israel v Japan","W","2-0","FIFA World Cup"
"12 Sep 1974","Israel v Korea DPR","W","2-0","Asian Games"
"08 Sep 1956","Korea Republic v Israel","L","2-1","AFC Asian Cup"
"17 Oct 1960","Korea Republic v Israel","L","3-0","AFC Asian Cup"
"22 Oct 1961","Israel v Korea Republic","D","1-1","International Friendly"
"03 Jun 1964","Israel v Korea Republic","W","2-1","AFC Asian Cup"
"23 May 1973","Korea Republic v Israel","D","0-0","FIFA World Cup"
"28 May 1973","Korea Republic v Israel","L","1-0","FIFA World Cup"
"27 Feb 1977","Israel v Korea Republic","D","0-0","FIFA World Cup"
"20 Mar 1977","Korea Republic v Israel","L","3-1","FIFA World Cup"
"30 Apr 1996","Israel v Korea Republic","L","4-5","International Friendly"
"20 Apr 1994","Lithuania v Israel","D","1-1","International Friendly"
"20 Apr 1994","Lithuania v Israel","W","0-1","Under-21"
"21 Feb 1996","Israel v Lithuania","W","4-2","International Friendly"
"15 Aug 2001","Lithuania v Israel","W","2-3","International Friendly"
"21 Aug 2002","Lithuania v Israel","W","2-4","International Friendly"
"30 Mar 2004","Israel v Lithuania","W","2-1","International Friendly"
"20 Oct 1975","Israel v Mexico","W","1-0","International Friendly"
"28 May 2014","Mexico v Israel","L","3-0","International Friendly"
"26 Jan 1965","Israel v Netherlands","L","0-1","International Friendly"
"30 Sep 1966","Netherlands v Israel","L","4-1","Under-21 v A"
"19 Oct 1966","Netherlands v Israel","L","4-1","Under-23 v A"
"28 Jan 1970","Israel v Netherlands","L","0-1","International Friendly"
"22 Feb 1978","Israel v Netherlands","L","1-2","International Friendly"
"18 Apr 1978","Israel v Netherlands","W","2-0","International Friendly"
"04 Jan 1989","Israel v Netherlands","L","0-2","International Friendly"
"28 Sep 1969","Israel v New Zealand","W","4-0","FIFA World Cup"
"01 Oct 1969","Israel v New Zealand","W","2-0","FIFA World Cup"
"26 Oct 1985","New Zealand v Israel","L","3-1","FIFA World Cup"
"10 Nov 1985","Israel v New Zealand","W","3-0","FIFA World Cup"
"05 Mar 1989","Israel v New Zealand","W","1-0","FIFA World Cup"
"09 Apr 1989","New Zealand v Israel","D","2-2","FIFA World Cup"
"10 Sep 1968","Israel v Northern Ireland","L","2-3","International Friendly"
"03 Mar 1976","Israel v Northern Ireland","D","1-1","International Friendly"
"26 Mar 1980","Israel v Northern Ireland","D","0-0","FIFA World Cup"
"18 Nov 1981","Northern Ireland v Israel","L","1-0","FIFA World Cup"
"16 Oct 1984","Northern Ireland v Israel","L","3-0","International Friendly"
"18 Feb 1987","Israel v Northern Ireland","D","1-1","International Friendly"
"12 Aug 2009","Northern Ireland v Israel","D","1-1","International Friendly"
"26 Mar 2013","Northern Ireland v Israel","W","0-2","FIFA World Cup"
"15 Oct 2013","Israel v Northern Ireland","D","1-1","FIFA World Cup"
"17 Dec 1980","Portugal v Israel","L","3-0","FIFA World Cup"
"28 Oct 1981","Israel v Portugal","W","4-1","FIFA World Cup"
"18 Nov 1998","Portugal v Israel","L","2-0","International Friendly"
"15 Nov 2000","Portugal v Israel","L","2-1","International Friendly"
"22 Mar 2013","Israel v Portugal","D","3-3","FIFA World Cup"
"11 Oct 2013","Portugal v Israel","D","1-1","FIFA World Cup"
"04 Apr 1984","Israel v Republic of Ireland","W","3-0","International Friendly"
"27 Feb 1985","Israel v Republic of Ireland","D","0-0","International Friendly"
"10 Nov 1987","Republic of Ireland v Israel","L","5-0","International Friendly"
"26 Mar 2005","Israel v Republic of Ireland","D","1-1","FIFA World Cup"
"04 Jun 2005","Republic of Ireland v Israel","D","2-2","FIFA World Cup"
"07 Dec 1966","Israel v Romania","L","1-2","International Friendly"
"12 Sep 1967","Romania v Israel","L","3-1","International Friendly"
"28 Dec 1968","Israel v Romania","L","4-5","*"
"31 Dec 1968","Israel v Romania","W","1-0","*"
"14 Jan 1970","Israel v Romania","L","0-1","A v OT"
"20 Jan 1970","Israel v Romania","L","1-2","A v OT"
"28 Mar 1973","Romania v Israel","L","3-1","*"
"04 Dec 1974","Israel v Romania","L","0-1","International Friendly"
"19 Dec 1978","Israel v Romania","D","1-1","International Friendly"
"08 Apr 1981","Israel v Romania","W","2-1","International Friendly"
"08 Nov 1983","Israel v Romania","D","1-1","International Friendly"
"11 Apr 1984","Romania v Israel","D","0-0","International Friendly"
"21 Nov 1984","Israel v Romania","D","1-1","International Friendly"
"08 Oct 1986","Israel v Romania","L","2-4","International Friendly"
"08 Apr 1987","Romania v Israel","L","3-2","International Friendly"
"03 Feb 1988","Israel v Romania","L","0-2","International Friendly"
"23 Nov 1988","Romania v Israel","L","3-0","International Friendly"
"25 Apr 1990","Israel v Romania","L","1-4","International Friendly"
"22 Sep 1993","Romania v Israel","L","1-0","International Friendly"
"14 Dec 1994","Israel v Romania","D","1-1","UEFA European Championship"
"07 Jun 1995","Romania v Israel","L","2-1","UEFA European Championship"
"14 Aug 1996","Romania v Israel","L","2-0","International Friendly"
"18 Mar 1998","Romania v Israel","W","0-1","International Friendly"
"10 Mar 1999","Romania v Israel","W","0-2","International Friendly"
"06 Feb 2008","Israel v Romania","W","1-0","International Friendly"
"03 Mar 2010","Romania v Israel","W","0-2","International Friendly"
"16 May 1967","Israel v Scotland","L","1-2","A v B"
"25 Feb 1981","Israel v Scotland","L","0-1","FIFA World Cup"
"28 Apr 1981","Scotland v Israel","L","3-1","FIFA World Cup"
"28 Jan 1986","Israel v Scotland","L","0-1","International Friendly"
"09 Feb 2011","Israel v Serbia","L","0-2","International Friendly"
"31 May 2016","Serbia v Israel","L","3-1","International Friendly"
"12 Oct 1994","Israel v Slovakia","D","2-2","UEFA European Championship"
"06 Sep 1995","Slovakia v Israel","L","1-0","UEFA European Championship"
"18 Aug 1999","Slovakia v Israel","L","1-0","International Friendly"
"05 Mar 2014","Israel v Slovakia","L","1-3","International Friendly"
"01 May 1954","South Africa v Israel","L","2-1","International Friendly"
"14 Oct 1998","Israel v Spain","L","1-2","UEFA European Championship"
"10 Oct 1999","Spain v Israel","L","3-0","UEFA European Championship"
"07 Oct 2000","Spain v Israel","L","2-0","FIFA World Cup"
"06 Jun 2001","Israel v Spain","D","1-1","FIFA World Cup"
"12 Nov 1962","Israel v Sweden","L","0-4","International Friendly"
"19 Feb 1968","Israel v Sweden","L","0-3","International Friendly"
"19 Feb 1969","Israel v Sweden","L","2-3","International Friendly"
"23 Feb 1969","Israel v Sweden","W","1-0","A v B"
"25 Aug 1969","Sweden v Israel","L","3-1","International Friendly"
"07 Jun 1970","Israel v Sweden","D","1-1","FIFA World Cup"
"02 Mar 1971","Israel v Sweden","W","2-1","International Friendly"
"18 Jun 1980","Sweden v Israel","D","1-1","FIFA World Cup"
"12 Nov 1980","Israel v Sweden","D","0-0","FIFA World Cup"
"01 May 1985","Israel v Sweden","D","1-1","International Friendly"
"11 Nov 1992","Israel v Sweden","L","1-3","FIFA World Cup"
"02 Jun 1993","Sweden v Israel","L","5-0","FIFA World Cup"
"12 Mar 1997","Israel v Sweden","L","0-1","International Friendly"
"17 Mar 1965","Israel v Switzerland","D","0-0","International Friendly"
"22 Oct 1966","Switzerland v Israel","L","4-0","B v A"
"14 Feb 1968","Israel v Switzerland","W","2-1","International Friendly"
"19 May 1987","Switzerland v Israel","L","1-0","International Friendly"
"16 Dec 1987","Israel v Switzerland","L","0-2","International Friendly"
"09 Oct 2004","Israel v Switzerland","D","2-2","FIFA World Cup"
"03 Sep 2005","Switzerland v Israel","D","1-1","FIFA World Cup"
"06 Sep 2008","Israel v Switzerland","D","2-2","FIFA World Cup"
"14 Oct 2009","Switzerland v Israel","D","0-0","FIFA World Cup"
"28 Oct 1950","Israel v Turkey","W","5-1","International Friendly"
"03 Dec 1950","Turkey v Israel","L","3-2","International Friendly"
"16 May 1962","Turkey v Israel","L","1-0","International Friendly"
"25 Nov 1962","Israel v Turkey","L","0-2","International Friendly"
"08 Mar 1995","Turkey v Israel","L","2-1","International Friendly"
"18 Feb 1998","Israel v Turkey","W","4-0","International Friendly"
"27 Apr 1993","Ukraine v Israel","D","1-1","International Friendly"
"15 Mar 1994","Israel v Ukraine","W","1-0","International Friendly"
"15 Aug 2005","Ukraine v Israel","W","0-0","International Friendly"
"07 Feb 2007","Israel v Ukraine","D","1-1","International Friendly"
"29 Feb 2012","Israel v Ukraine","L","2-3","International Friendly"
"14 Aug 2013","Ukraine v Israel","L","2-0","International Friendly"
"15 Jun 1966","Israel v Uruguay","L","1-2","International Friendly"
"02 Jun 1970","Uruguay v Israel","L","2-0","FIFA World Cup"
"19 Jul 1973","Israel v Uruguay","L","1-2","International Friendly"
"26 Sep 1983","Israel v Uruguay","D","2-2","International Friendly"
"20 Sep 1995","Israel v Uruguay","W","3-1","International Friendly"
"26 May 2010","Uruguay v Israel","L","4-1","International Friendly"
"14 Oct 1948","USA v Israel","L","4-1","International Friendly"
"17 Oct 1948","USA v Israel","L","3-2","International Friendly"
"15 Sep 1968","USA v Israel","D","3-3","International Friendly"
"25 Sep 1968","USA v Israel","W","0-4","International Friendly"
"13 Nov 1973","Israel v USA","W","3-1","International Friendly"
"15 Nov 1973","Israel v USA","W","2-0","International Friendly"
"06 Jan 1975","Israel v USA","W","3-0","International Friendly"
"15 Jan 1975","Israel v USA","W","1-0","International Friendly"
"17 Jun 1997","USA v Israel","L","2-1","International Friendly"
"15 May 1990","Israel v USSR","W","3-2","International Friendly"
"09 Oct 1990","USSR v Israel","L","3-0","International Friendly"
"17 Jan 2001","Israel v Uzbekistan","W","2-0","International Friendly"
"15 Jan 1958","Israel v Wales","L","0-2","FIFA World Cup"
"05 Feb 1958","Wales v Israel","L","2-0","FIFA World Cup"
"10 Jun 1984","Israel v Wales","D","0-0","International Friendly"
"08 Feb 1989","Israel v Wales","D","3-3","International Friendly"
"28 Mar 2015","Israel v Wales","L","0-3","UEFA European Championship"
"06 Sep 2015","Wales v Israel","D","0-0","UEFA European Championship"
"21 Aug 1949","Yugoslavia v Israel","L","6-0","FIFA World Cup"
"18 Sep 1949","Israel v Yugoslavia","L","2-5","FIFA World Cup"
"08 Nov 1953","Yugoslavia v Israel","L","1-0","FIFA World Cup"
"21 Mar 1954","Israel v Yugoslavia","L","0-1","FIFA World Cup"
"14 Dec 1961","Israel v Yugoslavia","L","0-2","International Friendly"
"28 Oct 1964","Israel v Yugoslavia","W","2-0","International Friendly"
"12 Oct 1966","Israel v Yugoslavia","L","1-3","International Friendly"
"23 Dec 1998","Israel v Yugoslavia","W","2-0","International Friendly"
"11 Nov 1989","Italy v Algeria","W","1-0","International Friendly"
"05 Dec 1954","Italy v Argentina","W","2-0","International Friendly"
"24 Jun 1956","Argentina v Italy","L","1-0","International Friendly"
"15 Jun 1961","Italy v Argentina","W","4-1","International Friendly"
"22 Jun 1966","Italy v Argentina","W","3-0","International Friendly"
"19 Jun 1974","Argentina v Italy","D","1-1","FIFA World Cup"
"10 Jun 1978","Argentina v Italy","W","0-1","FIFA World Cup"
"26 May 1979","Italy v Argentina","D","2-2","International Friendly"
"29 Jun 1982","Italy v Argentina","W","2-1","FIFA World Cup"
"05 Jun 1986","Italy v Argentina","D","1-1","FIFA World Cup"
"10 Jun 1987","Italy v Argentina","W","3-1","FIFA 90 World Cup"
"21 Dec 1989","Italy v Argentina","D","0-0","International Friendly"
"03 Jul 1990","Italy v Argentina","L","1-1","FIFA World Cup"
"28 Feb 2001","Italy v Argentina","L","1-2","International Friendly"
"14 Aug 2013","Italy v Argentina","L","1-2","International Friendly"
"12 Oct 2012","Armenia v Italy","W","1-3","FIFA World Cup"
"15 Oct 2013","Italy v Armenia","D","2-2","FIFA World Cup"
"26 Jun 2006","Italy v Australia","W","1-0","FIFA World Cup"
"22 Dec 1912","Italy v Austria","L","1-3","International Friendly"
"15 Jun 1913","Austria v Italy","L","2-0","International Friendly"
"11 Jan 1914","Italy v Austria","D","0-0","International Friendly"
"15 Jan 1922","Italy v Austria","D","3-3","International Friendly"
"15 Apr 1923","Austria v Italy","D","0-0","International Friendly"
"20 Jan 1924","Italy v Austria","L","0-4","International Friendly"
"06 Nov 1927","Italy v Austria","L","0-1","Dr Gero Cup"
"11 Nov 1928","Italy v Austria","D","2-2","International Friendly"
"07 Apr 1929","Austria v Italy","L","3-0","Dr Gero Cup"
"22 Feb 1931","Italy v Austria","W","2-1","Dr Gero Cup"
"20 Mar 1932","Austria v Italy","L","2-1","Dr Gero Cup"
"11 Feb 1934","Italy v Austria","L","2-4","Dr Gero Cup"
"03 Jun 1934","Italy v Austria","W","1-0","FIFA World Cup"
"24 Mar 1935","Austria v Italy","W","0-2","Dr Gero Cup"
"17 May 1936","Italy v Austria","D","2-2","International Friendly"
"01 Dec 1946","Italy v Austria","W","3-2","International Friendly"
"09 Nov 1947","Austria v Italy","L","5-1","International Friendly"
"22 May 1949","Italy v Austria","W","3-1","Dr Gero Cup"
"02 Apr 1950","Austria v Italy","L","1-0","Dr Gero Cup"
"09 Dec 1956","Italy v Austria","W","2-1","Dr Gero Cup"
"23 Mar 1958","Austria v Italy","L","3-2","Dr Gero Cup"
"10 Dec 1960","Italy v Austria","L","1-2","International Friendly"
"11 Nov 1962","Austria v Italy","W","1-2","International Friendly"
"09 Jun 1963","Austria v Italy","W","0-1","International Friendly"
"14 Dec 1963","Italy v Austria","W","1-0","International Friendly"
"18 Jun 1966","Italy v Austria","W","1-0","International Friendly"
"31 Oct 1970","Austria v Italy","W","1-2","UEFA European Championship"
"20 Nov 1971","Italy v Austria","D","2-2","UEFA European Championship"
"08 Jun 1974","Austria v Italy","D","0-0","International Friendly"
"18 Jun 1978","Austria v Italy","W","0-1","FIFA World Cup"
"26 Mar 1986","Italy v Austria","W","2-1","International Friendly"
"25 Mar 1989","Austria v Italy","W","0-1","International Friendly"
"09 Jun 1990","Italy v Austria","W","1-0","FIFA World Cup"
"23 Jun 1998","Italy v Austria","W","2-1","FIFA World Cup"
"20 Aug 2008","Italy v Austria","D","2-2","International Friendly"
"01 May 1913","Italy v Belgium","W","1-0","International Friendly"
"05 May 1921","Belgium v Italy","W","2-3","International Friendly"
"21 May 1922","Italy v Belgium","W","4-2","International Friendly"
"12 Feb 1933","Belgium v Italy","W","2-3","International Friendly"
"15 May 1938","Italy v Belgium","W","6-1","International Friendly"
"05 Mar 1950","Italy v Belgium","W","3-1","International Friendly"
"24 Feb 1952","Belgium v Italy","L","2-0","International Friendly"
"20 Jun 1954","Italy v Belgium","W","4-1","FIFA World Cup"
"16 Jan 1955","Italy v Belgium","W","1-0","International Friendly"
"13 May 1962","Belgium v Italy","W","1-3","International Friendly"
"29 Apr 1972","Italy v Belgium","D","0-0","UEFA European Championship"
"13 May 1972","Belgium v Italy","L","2-1","UEFA European Championship"
"26 Jan 1977","Italy v Belgium","W","2-1","International Friendly"
"21 Dec 1977","Belgium v Italy","W","0-1","International Friendly"
"18 Jun 1980","Italy v Belgium","D","0-0","UEFA European Championship"
"12 Feb 1991","Italy v Belgium","D","0-0","International Friendly"
"29 May 1996","Italy v Belgium","D","2-2","International Friendly"
"13 Nov 1999","Italy v Belgium","L","1-3","International Friendly"
"14 Jun 2000","Belgium v Italy","W","0-2","UEFA European Championship"
"30 May 2008","Italy v Belgium","W","3-1","International Friendly"
"13 Nov 2015","Belgium v Italy","L","3-1","International Friendly"
"13 Jun 2016","Belgium v Italy","W","0-2","UEFA European Championship"
"06 Nov 1996","Bosnia and Herzegovina v Italy","L","2-1","International Friendly"
"16 Jun 1938","Italy v Brazil","W","2-1","FIFA World Cup"
"25 Apr 1956","Italy v Brazil","W","3-0","International Friendly"
"01 Jul 1956","Brazil v Italy","L","2-0","International Friendly"
"12 May 1963","Italy v Brazil","W","3-0","International Friendly"
"21 Jun 1970","Brazil v Italy","L","4-1","FIFA World Cup"
"09 Jun 1973","Italy v Brazil","W","2-0","International Friendly"
"31 May 1976","Brazil v Italy","L","4-1","Bi-Centenary"
"24 Jun 1978","Brazil v Italy","L","2-1","FIFA World Cup"
"05 Jul 1982","Italy v Brazil","W","3-2","FIFA World Cup"
"14 Oct 1989","Italy v Brazil","L","0-1","International Friendly"
"17 Jul 1994","Brazil v Italy","L","0-0","FIFA World Cup"
"08 Jun 1997","Brazil v Italy","D","3-3","Tournoi de France"
"10 Feb 2009","Brazil v Italy","L","2-0","International Friendly"
"21 Jun 2009","Italy v Brazil","L","0-3","FIFA Confederations Cup"
"21 Mar 2013","Brazil v Italy","D","2-2","International Friendly"
"22 Jun 2013","Italy v Brazil","L","2-4","FIFA Confederations Cup"
