Date,Match,Result,Score,Competition
1991-06-02,Costa Rica v Guatemala,L,1-0,Copa Centroamericana
1991-06-29,Costa Rica v Guatemala,L,2-0,CONCACAF Gold Cup
1991-11-10,Costa Rica v Guatemala,L,2-1,International Friendly
1996-11-17,Costa Rica v Guatemala,L,3-0,FIFA World Cup
1996-11-24,Guatemala v Costa Rica,W,1-0,FIFA World Cup
1997-04-16,Guatemala v Costa Rica,D,1-1,Copa Centroamericana
1999-03-24,Costa Rica v Guatemala,L,1-0,Copa Centroamericana
2001-05-27,Costa Rica v Guatemala,D,1-1,UNCAF Tournament
2003-02-13,Costa Rica v Guatemala,D,1-1,UNCAF Tournament
2005-02-25,Costa Rica v Guatemala,L,4-0,UNCAF Tournament
2009-01-25,Guatemala v Costa Rica,L,1-3,UNCAF Tournament
2011-01-16,Guatemala v Costa Rica,L,0-2,UNCAF Tournament
2012-05-25,Costa Rica v Guatemala,L,3-2,International Friendly
2014-09-13,Costa Rica v Guatemala,L,2-1,Copa Centroamericana
1930-03-19,Guatemala v El Salvador,L,2-8,Central American and Caribbean Games
1934-11-22,Guatemala v El Salvador,W,3-1,International Friendly
1935-04-03,El Salvador v Guatemala,L,6-1,Central American and Caribbean Games
1943-12-05,El Salvador v Guatemala,D,2-2,CCCF Championship
1943-12-12,El Salvador v Guatemala,L,2-1,CCCF Championship
1946-02-23,Guatemala v El Salvador,W,3-1,CCCF Championship
1948-03-02,Guatemala v El Salvador,W,3-0,CCCF Championship
1948-03-13,Guatemala v El Salvador,D,1-1,CCCF Championship
1950-03-12,Guatemala v El Salvador,W,2-0,Central American and Caribbean Games
1953-03-13,Guatemala v El Salvador,W,3-2,CCCF Championship
1955-08-15,El Salvador v Guatemala,L,3-2,CCCF Championship
1965-04-04,Guatemala v El Salvador,W,4-1,CONCACAF Championship
1967-09-30,Guatemala v El Salvador,W,3-1,International Friendly
1967-10-20,Guatemala v El Salvador,W,1-0,International Friendly
1972-12-03,Guatemala v El Salvador,W,1-0,FIFA World Cup
1972-12-10,El Salvador v Guatemala,W,0-1,FIFA World Cup
1976-12-08,Guatemala v El Salvador,W,3-1,FIFA World Cup
1976-12-19,El Salvador v Guatemala,L,2-0,FIFA World Cup
1977-10-23,Guatemala v El Salvador,D,2-2,FIFA World Cup
1977-11-27,El Salvador v Guatemala,L,1-0,International Friendly
1977-12-03,Guatemala v El Salvador,W,1-0,International Friendly
1980-09-04,El Salvador v Guatemala,L,3-2,International Friendly
1984-12-16,Guatemala v El Salvador,W,2-0,International Friendly
1984-12-23,Guatemala v El Salvador,W,2-0,International Friendly
1986-01-10,Guatemala v El Salvador,W,2-0,CONCACAF Championship
1988-04-10,El Salvador v Guatemala,D,0-0,International Friendly
1988-04-21,El Salvador v Guatemala,L,1-0,International Friendly
1988-08-05,Guatemala v El Salvador,W,2-1,Marlboro Cup
1988-11-09,Guatemala v El Salvador,W,0-0,International Friendly
1989-03-03,Guatemala v El Salvador,W,3-0,International Friendly
1989-11-26,El Salvador v Guatemala,D,0-0,FIFA World Cup
1991-05-26,Guatemala v El Salvador,D,0-0,Copa Centroamericana
1995-12-07,El Salvador v Guatemala,W,0-1,Copa Centroamericana
1996-04-23,El Salvador v Guatemala,L,2-1,International Friendly
1996-09-25,El Salvador v Guatemala,L,2-1,International Friendly
1997-03-13,El Salvador v Guatemala,D,0-0,International Friendly
1997-04-13,El Salvador v Guatemala,D,1-1,International Friendly
1997-04-23,Guatemala v El Salvador,W,1-0,Copa Centroamericana
1997-09-24,Guatemala v El Salvador,W,1-0,International Friendly
1998-02-02,El Salvador v Guatemala,D,0-0,CONCACAF Gold Cup
1999-03-19,El Salvador v Guatemala,D,1-1,Copa Centroamericana
1999-03-26,Guatemala v El Salvador,W,1-0,Copa Centroamericana
2000-04-02,Guatemala v El Salvador,L,0-1,FIFA World Cup
2000-05-07,El Salvador v Guatemala,D,1-1,FIFA World Cup
2000-07-07,Guatemala v El Salvador,W,1-0,International Friendly
2001-03-06,Guatemala v El Salvador,D,1-1,International Friendly
2003-01-17,Guatemala v El Salvador,D,0-0,International Friendly
2003-01-19,Guatemala v El Salvador,D,0-0,International Friendly
2003-02-20,El Salvador v Guatemala,W,0-2,UNCAF Tournament
2003-07-08,Guatemala v El Salvador,W,2-1,International Friendly
2007-02-12,El Salvador v Guatemala,D,0-0,Copa Centroamericana
2007-02-18,El Salvador v Guatemala,W,0-1,Copa Centroamericana
2007-06-09,El Salvador v Guatemala,W,0-1,CONCACAF Gold Cup
2008-07-20,El Salvador v Guatemala,D,0-0,International Friendly
2012-08-11,El Salvador v Guatemala,L,1-0,International Friendly
1961-03-12,Haiti v Guatemala,L,3-1,CCCF Championship
1965-03-28,Guatemala v Haiti,W,3-0,CONCACAF Championship
1967-03-06,Guatemala v Haiti,W,2-1,CONCACAF Championship
1968-12-08,Haiti v Guatemala,L,2-0,FIFA World Cup
1973-12-13,Haiti v Guatemala,L,2-1,FIFA World Cup
1977-10-12,Haiti v Guatemala,L,2-1,FIFA World Cup
1985-04-26,Haiti v Guatemala,W,0-1,FIFA World Cup
2000-07-03,Guatemala v Haiti,W,4-1,International Friendly
2004-05-05,Guatemala v Haiti,W,1-0,International Friendly
2005-02-13,Guatemala v Haiti,W,2-1,International Friendly
2008-04-23,Guatemala v Haiti,W,1-0,International Friendly
2009-01-17,Guatemala v Haiti,W,1-0,International Friendly
1946-02-28,Guatemala v Honduras,L,3-5,CCCF Championship
1950-03-04,Guatemala v Honduras,L,0-1,Central American and Caribbean Games
1950-03-14,Guatemala v Honduras,W,1-0,CCCF Championship
1955-08-25,Honduras v Guatemala,L,1-0,CCCF Championship
1963-03-29,Honduras v Guatemala,L,2-1,CONCACAF Championship
1967-03-12,Honduras v Guatemala,D,0-0,CONCACAF Championship
1973-12-15,Honduras v Guatemala,D,1-1,FIFA World Cup
1980-07-16,Honduras v Guatemala,D,1-1,International Friendly
1980-10-26,Honduras v Guatemala,D,0-0,FIFA World Cup
1980-12-07,Guatemala v Honduras,L,0-1,FIFA World Cup
1983-05-03,Guatemala v Honduras,L,0-2,International Friendly
1984-10-03,Honduras v Guatemala,L,1-0,International Friendly
1986-01-08,Guatemala v Honduras,W,1-0,CONCACAF Championship
1992-07-19,Guatemala v Honduras,D,0-0,FIFA World Cup
1992-07-26,Honduras v Guatemala,L,2-0,FIFA World Cup
1995-12-03,Honduras v Guatemala,L,2-0,Copa Centroamericana
1995-12-10,Honduras v Guatemala,L,3-0,Copa Centroamericana
1996-08-18,Guatemala v Honduras,D,1-1,International Friendly
1997-04-25,Guatemala v Honduras,W,1-0,Copa Centroamericana
1998-11-17,Guatemala v Honduras,W,3-3,LA Tournament
1998-11-28,Honduras v Guatemala,D,0-0,International Friendly
1999-11-10,Guatemala v Honduras,D,1-1,International Friendly
1999-11-24,Guatemala v Honduras,D,1-1,International Friendly
2016-02-10,Guatemala v Honduras,W,3-1,International Friendly
1967-12-28,Guatemala v Hungary,D,0-0,International Friendly
1977-02-24,Guatemala v Hungary,L,0-2,*
1996-03-03,Jamaica v Guatemala,L,2-0,International Friendly
1996-08-27,Guatemala v Jamaica,W,2-1,International Friendly
2002-10-31,Guatemala v Jamaica,D,1-1,International Friendly
2004-10-02,Jamaica v Guatemala,D,2-2,International Friendly
2005-04-20,Jamaica v Guatemala,L,1-0,International Friendly
2005-07-08,Guatemala v Jamaica,L,3-4,CONCACAF Gold Cup
2005-10-01,Guatemala v Jamaica,L,1-2,International Friendly
2007-11-22,Jamaica v Guatemala,L,2-0,International Friendly
2011-06-10,Jamaica v Guatemala,L,2-0,CONCACAF Gold Cup
1984-06-03,Korea Republic v Guatemala,D,0-0,Presidents Cup
1987-12-19,Guatemala v Korea Republic,D,3-3,A v OT
1923-01-04,Guatemala v Mexico,W,3-1,International Friendly
1923-01-07,Guatemala v Mexico,L,1-4,International Friendly
1923-12-12,Mexico v Guatemala,L,2-0,International Friendly
1923-12-16,Mexico v Guatemala,D,3-3,International Friendly
1935-03-28,Mexico v Guatemala,L,5-1,Central American and Caribbean Games
1950-03-07,Guatemala v Mexico,D,3-3,Central American and Caribbean Games
1950-03-08,Guatemala v Mexico,D,0-0,Central American and Caribbean Games
1950-03-10,Guatemala v Mexico,W,2-1,Central American and Caribbean Games
1965-04-11,Guatemala v Mexico,L,1-2,CONCACAF Championship
1967-03-10,Mexico v Guatemala,W,0-1,CONCACAF Championship
1969-12-02,Guatemala v Mexico,W,1-0,CONCACAF Championship
1973-08-19,Mexico v Guatemala,W,0-1,*
1973-11-30,Mexico v Guatemala,D,0-0,FIFA World Cup
1977-10-19,Mexico v Guatemala,L,2-1,FIFA World Cup
1980-04-14,Guatemala v Mexico,L,2-4,International Friendly
1980-04-29,Mexico v Guatemala,D,2-2,International Friendly
1981-10-04,Guatemala v Mexico,L,1-3,International Friendly
1983-04-05,Mexico v Guatemala,L,2-0,International Friendly
1984-07-22,Guatemala v Mexico,L,1-3,International Friendly
2000-01-12,Mexico v Guatemala,D,1-1,International Friendly
2000-02-17,Guatemala v Mexico,D,1-1,CONCACAF Gold Cup
2004-11-10,Mexico v Guatemala,L,2-0,International Friendly
2011-06-18,Mexico v Guatemala,L,2-1,CONCACAF Gold Cup
2015-05-30,Mexico v Guatemala,L,3-0,International Friendly
1946-03-13,Guatemala v Panama,D,3-3,CCCF Championship
1946-12-09,Panama v Guatemala,L,4-2,CACG IV/BOL II
1948-03-09,Guatemala v Panama,W,4-3,CCCF Championship
1948-03-21,Guatemala v Panama,L,4-5,CCCF Championship
1953-03-17,Panama v Guatemala,D,2-2,CCCF Championship
1963-03-23,Guatemala v Panama,D,2-2,CONCACAF Championship
1967-02-13,Panama v Guatemala,W,1-3,CONCACAF Championship
1975-08-01,Panama v Guatemala,L,2-0,International Friendly
1976-09-17,Panama v Guatemala,W,2-4,FIFA World Cup
1976-09-26,Guatemala v Panama,W,7-0,FIFA World Cup
1977-11-28,Panama v Guatemala,D,0-0,International Friendly
1977-12-01,Panama v Guatemala,L,3-0,International Friendly
1980-07-02,Panama v Guatemala,W,0-2,FIFA World Cup
1995-12-01,Guatemala v Panama,W,1-0,Copa Centroamericana
1996-08-03,Guatemala v Panama,W,1-0,International Friendly
2000-01-07,Panama v Guatemala,L,4-1,International Friendly
2000-01-26,Guatemala v Panama,D,1-1,International Friendly
2004-05-01,Guatemala v Panama,L,1-2,International Friendly
2005-02-27,Guatemala v Panama,W,3-0,Copa Centroamericana
2007-02-16,Panama v Guatemala,L,2-0,Copa Centroamericana
2009-01-27,Guatemala v Panama,L,0-1,UNCAF Tournament
2013-01-25,Guatemala v Panama,L,1-3,Copa Centroamericana
1965-03-10,Guatemala v Paraguay,L,1-4,International Friendly
1989-05-07,Guatemala v Paraguay,L,1-2,International Friendly
1999-10-15,Guatemala v Paraguay,D,0-0,International Friendly
2005-01-23,Guatemala v Paraguay,L,1-2,International Friendly
2012-04-25,Guatemala v Paraguay,L,0-1,International Friendly
1973-03-04,Peru v Guatemala,L,5-1,International Friendly
2003-07-02,Peru v Guatemala,L,2-1,International Friendly
2003-08-27,Peru v Guatemala,D,0-0,International Friendly
1999-11-23,Guatemala v Slovakia,L,0-1,International Friendly
2005-07-13,Guatemala v South Africa,D,1-1,CONCACAF Gold Cup
2010-05-31,South Africa v Guatemala,L,5-0,International Friendly
1967-03-14,Guatemala v Trinidad and Tobago,W,2-0,CONCACAF Championship
1968-11-20,Guatemala v Trinidad and Tobago,D,0-0,FIFA World Cup
1969-11-27,Guatemala v Trinidad and Tobago,W,2-0,CONCACAF Championship
1973-12-10,Guatemala v Trinidad and Tobago,L,0-1,FIFA World Cup
1996-12-08,Guatemala v Trinidad and Tobago,W,2-1,FIFA World Cup
1998-01-23,Guatemala v Trinidad and Tobago,W,3-1,International Friendly
2002-01-13,Trinidad and Tobago v Guatemala,D,0-0,International Friendly
2004-08-11,Guatemala v Trinidad and Tobago,W,4-1,International Friendly
2007-06-12,Trinidad and Tobago v Guatemala,D,1-1,CONCACAF Gold Cup
2016-09-03,Trinidad and Tobago v Guatemala,D,2-2,FIFA World Cup
1974-04-10,Guatemala v Uruguay,D,1-1,International Friendly
1977-09-18,Guatemala v USA,W,3-1,International Friendly
1977-09-25,Guatemala v USA,W,2-0,International Friendly
1988-01-10,Guatemala v USA,W,1-0,International Friendly
1988-01-13,Guatemala v USA,L,0-1,International Friendly
1989-06-17,USA v Guatemala,L,2-1,FIFA World Cup
1991-07-01,USA v Guatemala,L,3-0,CONCACAF Gold Cup
1996-12-21,Guatemala v USA,D,2-2,FIFA World Cup
1999-03-11,USA v Guatemala,L,3-1,US Cup
2006-02-19,USA v Guatemala,L,4-0,International Friendly
2007-03-29,USA v Guatemala,D,0-0,International Friendly
2007-06-07,USA v Guatemala,L,1-0,CONCACAF Gold Cup
2013-07-05,USA v Guatemala,L,6-0,International Friendly
2015-07-03,USA v Guatemala,L,4-0,International Friendly
1990-11-30,Guatemala v Russia,L,0-3,International Friendly
2004-12-21,Venezuela v Guatemala,W,0-1,Caribbean Cup
1977-01-26,Guatemala v Yugoslavia,L,0-2,*
1974-06-23,Argentina v Haiti,L,4-1,FIFA World Cup
1974-04-21,Brazil v Haiti,L,4-0,International Friendly
1973-11-10,Haiti v Canada,W,5-1,International Friendly
1973-11-12,Haiti v Canada,L,0-1,International Friendly
1977-10-20,Canada v Haiti,D,1-1,FIFA World Cup
1973-05-27,Haiti v Colombia,L,1-2,International Friendly
1973-05-29,Haiti v Colombia,W,2-1,International Friendly
1961-03-11,Costa Rica v Haiti,L,3-0,CCCF Championship
1961-03-19,Costa Rica v Haiti,L,8-0,CCCF Championship
1965-03-30,Costa Rica v Haiti,L,3-1,CONCACAF Championship
1971-11-24,Costa Rica v Haiti,D,0-0,CONCACAF Championship
2002-01-26,Costa Rica v Haiti,L,2-1,CONCACAF Gold Cup
2005-01-12,Costa Rica v Haiti,D,3-3,International Friendly
1971-12-04,Cuba v Haiti,D,0-0,CONCACAF Championship
1976-11-28,Cuba v Haiti,D,1-1,FIFA World Cup
1976-12-11,Haiti v Cuba,D,1-1,FIFA World Cup
1976-12-29,Haiti v Cuba,W,2-0,FIFA World Cup
1973-05-12,Haiti v Ecuador,L,1-2,International Friendly
1973-05-15,Haiti v Ecuador,W,1-0,International Friendly
1977-10-16,El Salvador v Haiti,W,0-1,FIFA World Cup
1981-06-11,Haiti v El Salvador,D,0-0,International Friendly
1981-06-13,Haiti v El Salvador,D,0-0,International Friendly
1981-11-19,Haiti v El Salvador,L,0-1,FIFA World Cup
2001-12-15,Haiti v El Salvador,D,0-0,International Friendly
2004-05-12,Haiti v El Salvador,D,3-3,International Friendly
2007-04-18,El Salvador v Haiti,W,0-1,International Friendly
2008-01-26,Haiti v El Salvador,D,0-0,International Friendly
2008-01-29,Haiti v El Salvador,D,0-0,International Friendly
2013-07-15,El Salvador v Haiti,L,1-0,CONCACAF Gold Cup
1973-12-13,Haiti v Guatemala,W,2-1,FIFA World Cup
1977-10-12,Haiti v Guatemala,W,2-1,FIFA World Cup
1957-08-14,Haiti v Honduras,W,2-1,CCCF Championship
1961-03-16,Honduras v Haiti,L,2-0,CCCF Championship
1967-03-16,Honduras v Haiti,L,2-0,CONCACAF Championship
1971-12-01,Haiti v Honduras,W,3-1,CONCACAF Championship
1973-12-07,Haiti v Honduras,W,1-0,FIFA World Cup
1980-06-10,Honduras v Haiti,L,1-0,International Friendly
1981-11-03,Honduras v Haiti,L,4-0,FIFA World Cup
1999-05-21,Honduras v Haiti,L,2-0,International Friendly
2000-08-20,Honduras v Haiti,L,4-0,International Friendly
2007-04-23,Honduras v Haiti,W,1-3,International Friendly
2009-07-04,Honduras v Haiti,L,1-0,CONCACAF Gold Cup
2013-07-08,Haiti v Honduras,L,0-2,CONCACAF Gold Cup
2015-07-13,Haiti v Honduras,W,1-0,CONCACAF Gold Cup
1974-06-15,Haiti v Italy,L,1-3,FIFA World Cup
1925-03-26,Jamaica v Haiti,L,3-0,International Friendly
1925-11-26,Jamaica v Haiti,L,6-0,International Friendly
1932-03-13,Haiti v Jamaica,L,1-4,International Friendly
1938-03-11,Haiti v Jamaica,D,0-0,International Friendly
1938-03-13,Haiti v Jamaica,W,5-2,International Friendly
1938-03-15,Haiti v Jamaica,L,0-3,International Friendly
1938-03-17,Haiti v Jamaica,W,2-0,International Friendly
1969-02-06,Haiti v Jamaica,L,1-2,International Friendly
1975-02-02,Jamaica v Haiti,W,0-1,International Friendly
1975-02-05,Jamaica v Haiti,L,1-0,International Friendly
1975-02-22,Haiti v Jamaica,L,0-1,International Friendly
1979-10-28,Haiti v Jamaica,W,3-0,Caribbean Cup
1979-11-02,Jamaica v Haiti,W,0-4,Caribbean Cup
1984-05-29,Jamaica v Haiti,W,0-1,International Friendly
1997-10-18,Haiti v Jamaica,L,0-1,International Friendly
1998-07-26,Jamaica v Haiti,L,2-1,Caribbean Cup
2004-11-28,Jamaica v Haiti,L,3-1,Caribbean Cup
2006-10-01,Jamaica v Haiti,L,2-0,Caribbean Cup
2009-05-23,Jamaica v Haiti,D,2-2,International Friendly
1953-07-19,Mexico v Haiti,L,8-0,FIFA World Cup
1953-12-27,Haiti v Mexico,L,0-4,FIFA World Cup
1962-02-25,Haiti v Mexico,D,1-1,*
1971-04-21,Haiti v Mexico,W,3-1,International Friendly
1971-11-21,Haiti v Mexico,D,0-0,CONCACAF Championship
1973-12-18,Haiti v Mexico,L,0-1,FIFA World Cup
1977-10-09,Mexico v Haiti,L,4-1,FIFA World Cup
2009-07-19,Mexico v Haiti,L,4-0,CONCACAF Gold Cup
2013-03-20,Oman v Haiti,L,3-0,International Friendly
1939-03-15,Haiti v Panama,W,1-0,International Friendly
1939-03-24,Haiti v Panama,W,3-0,International Friendly
1957-08-22,Haiti v Panama,W,3-1,CCCF Championship
1961-03-07,Haiti v Panama,W,3-1,CCCF Championship
1961-03-23,Panama v Haiti,W,0-2,International Friendly
1975-08-15,Panama v Haiti,L,2-0,International Friendly
1975-08-17,Haiti v Panama,D,1-1,International Friendly
2001-04-05,Haiti v Panama,D,1-1,International Friendly
2001-04-07,Haiti v Panama,D,0-0,International Friendly
2009-06-19,Haiti v Panama,D,1-1,International Friendly
2015-07-07,Panama v Haiti,D,1-1,CONCACAF Gold Cup
1977-05-26,Haiti v Peru,L,1-2,International Friendly
1977-05-29,Haiti v Peru,D,2-2,International Friendly
2000-02-14,Haiti v Peru,D,1-1,CONCACAF Gold Cup
2013-06-08,Haiti v Spain,L,1-2,International Friendly
1966-06-20,Haiti v Trinidad and Tobago,W,1-0,Caribbean
1968-11-23,Haiti v Trinidad and Tobago,W,4-0,FIFA World Cup
1968-11-25,Haiti v Trinidad and Tobago,L,2-4,FIFA World Cup
1971-11-28,Trinidad and Tobago v Haiti,W,0-6,CONCACAF Championship
1973-12-04,Haiti v Trinidad and Tobago,W,2-1,FIFA World Cup
1978-10-31,Trinidad and Tobago v Haiti,D,2-2,International Friendly
1979-11-11,Trinidad and Tobago v Haiti,W,0-1,Caribbean Cup
1980-08-01,Haiti v Trinidad and Tobago,W,2-0,FIFA World Cup
1980-08-17,Trinidad and Tobago v Haiti,L,1-0,FIFA World Cup
1998-07-29,Trinidad and Tobago v Haiti,L,4-1,Caribbean Cup
1999-06-11,Trinidad and Tobago v Haiti,L,6-1,Caribbean Cup
2000-05-19,Haiti v Trinidad and Tobago,D,1-1,FIFA World Cup
2003-07-31,Haiti v Trinidad and Tobago,W,2-0,St Kitts Three Team Tournament
2005-02-01,Trinidad and Tobago v Haiti,L,1-0,International Friendly
2005-02-03,Trinidad and Tobago v Haiti,L,2-1,International Friendly
2005-02-06,Trinidad and Tobago v Haiti,W,0-1,International Friendly
2007-01-17,Trinidad and Tobago v Haiti,L,3-1,Caribbean Cup
2007-01-23,Trinidad and Tobago v Haiti,W,1-2,Caribbean Cup
2007-05-28,Trinidad and Tobago v Haiti,L,1-0,Caribbean Cup
2008-07-30,Trinidad and Tobago v Haiti,L,2-0,International Friendly
2008-08-10,Haiti v Trinidad and Tobago,W,1-0,International Friendly
2010-11-06,Trinidad and Tobago v Haiti,L,4-0,Caribbean Cup
2012-12-07,Haiti v Trinidad and Tobago,D,0-0,Caribbean Cup
2013-07-12,Trinidad and Tobago v Haiti,W,0-2,CONCACAF Gold Cup
1974-03-23,Haiti v Uruguay,L,0-1,International Friendly
1974-03-27,Haiti v Uruguay,D,0-0,International Friendly
1941-04-10,Haiti v USA,W,4-1,International Friendly
1941-04-13,Haiti v USA,W,5-3,International Friendly
1941-04-16,Haiti v USA,W,4-0,International Friendly
1941-04-18,Haiti v USA,D,3-3,International Friendly
1968-10-21,Haiti v USA,W,5-2,International Friendly
1968-10-23,Haiti v USA,W,1-0,International Friendly
1969-04-20,Haiti v USA,W,2-0,FIFA World Cup
1969-05-11,USA v Haiti,W,0-1,FIFA World Cup
1973-11-03,Haiti v USA,W,1-0,International Friendly
1973-11-05,Haiti v USA,W,1-0,International Friendly
1976-11-10,Haiti v USA,D,0-0,International Friendly
